Date,Time,GHI_clear,GHI
1/1,0,100,97
1/1,1,2,2
1/1,2,0,0
1/1,3,0,0
1/1,4,0,0
1/1,5,0,0
1/1,6,0,0
1/1,7,0,0
1/1,8,0,0
1/1,9,0,0
1/1,10,0,0
1/1,11,0,0
1/1,12,0,0
1/1,13,0,0
1/1,14,0,0
1/1,15,5,4
1/1,16,138,121
1/1,17,309,301
1/1,18,448,413
1/1,19,536,489
1/1,20,564,546
1/1,21,529,491
1/1,22,436,361
1/1,23,294,258
1/2,0,123,81
1/2,1,2,2
1/2,2,0,0
1/2,3,0,0
1/2,4,0,0
1/2,5,0,0
1/2,6,0,0
1/2,7,0,0
1/2,8,0,0
1/2,9,0,0
1/2,10,0,0
1/2,11,0,0
1/2,12,0,0
1/2,13,0,0
1/2,14,0,0
1/2,15,5,3
1/2,16,133,47
1/2,17,303,116
1/2,18,441,302
1/2,19,531,304
1/2,20,560,424
1/2,21,527,449
1/2,22,434,370
1/2,23,293,199
1/3,0,123,60
1/3,1,2,2
1/3,2,0,0
1/3,3,0,0
1/3,4,0,0
1/3,5,0,0
1/3,6,0,0
1/3,7,0,0
1/3,8,0,0
1/3,9,0,0
1/3,10,0,0
1/3,11,0,0
1/3,12,0,0
1/3,13,0,0
1/3,14,0,0
1/3,15,5,3
1/3,16,132,47
1/3,17,302,132
1/3,18,441,404
1/3,19,529,325
1/3,20,557,187
1/3,21,523,195
1/3,22,431,333
1/3,23,291,194
1/4,0,122,69
1/4,1,2,1
1/4,2,0,0
1/4,3,0,0
1/4,4,0,0
1/4,5,0,0
1/4,6,0,0
1/4,7,0,0
1/4,8,0,0
1/4,9,0,0
1/4,10,0,0
1/4,11,0,0
1/4,12,0,0
1/4,13,0,0
1/4,14,0,0
1/4,15,4,4
1/4,16,126,93
1/4,17,293,205
1/4,18,432,405
1/4,19,524,524
1/4,20,557,393
1/4,21,525,515
1/4,22,436,436
1/4,23,297,297
1/5,0,128,128
1/5,1,3,3
1/5,2,0,0
1/5,3,0,0
1/5,4,0,0
1/5,5,0,0
1/5,6,0,0
1/5,7,0,0
1/5,8,0,0
1/5,9,0,0
1/5,10,0,0
1/5,11,0,0
1/5,12,0,0
1/5,13,0,0
1/5,14,0,0
1/5,15,5,4
1/5,16,134,134
1/5,17,305,305
1/5,18,448,448
1/5,19,540,540
1/5,20,571,571
1/5,21,537,537
1/5,22,445,387
1/5,23,302,275
1/6,0,131,112
1/6,1,3,1
1/6,2,0,0
1/6,3,0,0
1/6,4,0,0
1/6,5,0,0
1/6,6,0,0
1/6,7,0,0
1/6,8,0,0
1/6,9,0,0
1/6,10,0,0
1/6,11,0,0
1/6,12,0,0
1/6,13,0,0
1/6,14,0,0
1/6,15,5,4
1/6,16,129,88
1/6,17,296,214
1/6,18,434,324
1/6,19,524,405
1/6,20,555,405
1/6,21,524,375
1/6,22,435,295
1/6,23,297,185
1/7,0,131,91
1/7,1,5,4
1/7,2,0,0
1/7,3,0,0
1/7,4,0,0
1/7,5,0,0
1/7,6,0,0
1/7,7,0,0
1/7,8,0,0
1/7,9,0,0
1/7,10,0,0
1/7,11,0,0
1/7,12,0,0
1/7,13,0,0
1/7,14,0,0
1/7,15,5,5
1/7,16,138,115
1/7,17,312,259
1/7,18,454,366
1/7,19,546,538
1/7,20,577,577
1/7,21,545,496
1/7,22,453,345
1/7,23,311,292
1/8,0,139,119
1/8,1,5,5
1/8,2,0,0
1/8,3,0,0
1/8,4,0,0
1/8,5,0,0
1/8,6,0,0
1/8,7,0,0
1/8,8,0,0
1/8,9,0,0
1/8,10,0,0
1/8,11,0,0
1/8,12,0,0
1/8,13,0,0
1/8,14,0,0
1/8,15,4,1
1/8,16,125,18
1/8,17,290,43
1/8,18,432,85
1/8,19,526,86
1/8,20,559,160
1/8,21,523,107
1/8,22,427,30
1/8,23,288,46
1/9,0,127,10
1/9,1,5,1
1/9,2,0,0
1/9,3,0,0
1/9,4,0,0
1/9,5,0,0
1/9,6,0,0
1/9,7,0,0
1/9,8,0,0
1/9,9,0,0
1/9,10,0,0
1/9,11,0,0
1/9,12,0,0
1/9,13,0,0
1/9,14,0,0
1/9,15,5,3
1/9,16,133,28
1/9,17,306,40
1/9,18,441,57
1/9,19,527,92
1/9,20,557,141
1/9,21,533,119
1/9,22,442,137
1/9,23,304,36
1/10,0,135,56
1/10,1,6,1
1/10,2,0,0
1/10,3,0,0
1/10,4,0,0
1/10,5,0,0
1/10,6,0,0
1/10,7,0,0
1/10,8,0,0
1/10,9,0,0
1/10,10,0,0
1/10,11,0,0
1/10,12,0,0
1/10,13,0,0
1/10,14,0,0
1/10,15,5,5
1/10,16,131,107
1/10,17,303,130
1/10,18,446,284
1/10,19,541,336
1/10,20,576,464
1/10,21,543,318
1/10,22,455,274
1/10,23,316,137
1/11,0,145,52
1/11,1,7,3
1/11,2,0,0
1/11,3,0,0
1/11,4,0,0
1/11,5,0,0
1/11,6,0,0
1/11,7,0,0
1/11,8,0,0
1/11,9,0,0
1/11,10,0,0
1/11,11,0,0
1/11,12,0,0
1/11,13,0,0
1/11,14,0,0
1/11,15,5,5
1/11,16,138,138
1/11,17,313,313
1/11,18,458,458
1/11,19,552,552
1/11,20,587,587
1/11,21,558,558
1/11,22,468,468
1/11,23,326,326
1/12,0,152,152
1/12,1,9,9
1/12,2,0,0
1/12,3,0,0
1/12,4,0,0
1/12,5,0,0
1/12,6,0,0
1/12,7,0,0
1/12,8,0,0
1/12,9,0,0
1/12,10,0,0
1/12,11,0,0
1/12,12,0,0
1/12,13,0,0
1/12,14,0,0
1/12,15,5,4
1/12,16,143,101
1/12,17,322,250
1/12,18,472,408
1/12,19,571,571
1/12,20,607,607
1/12,21,575,575
1/12,22,483,483
1/12,23,338,326
1/13,0,160,129
1/13,1,10,8
1/13,2,0,0
1/13,3,0,0
1/13,4,0,0
1/13,5,0,0
1/13,6,0,0
1/13,7,0,0
1/13,8,0,0
1/13,9,0,0
1/13,10,0,0
1/13,11,0,0
1/13,12,0,0
1/13,13,0,0
1/13,14,0,0
1/13,15,6,6
1/13,16,146,141
1/13,17,326,323
1/13,18,476,476
1/13,19,572,572
1/13,20,606,579
1/13,21,576,576
1/13,22,484,470
1/13,23,340,339
1/14,0,162,162
1/14,1,11,10
1/14,2,0,0
1/14,3,0,0
1/14,4,0,0
1/14,5,0,0
1/14,6,0,0
1/14,7,0,0
1/14,8,0,0
1/14,9,0,0
1/14,10,0,0
1/14,11,0,0
1/14,12,0,0
1/14,13,0,0
1/14,14,0,0
1/14,15,5,4
1/14,16,141,107
1/14,17,319,228
1/14,18,469,370
1/14,19,565,469
1/14,20,601,524
1/14,21,570,488
1/14,22,479,351
1/14,23,337,318
1/15,0,161,150
1/15,1,11,11
1/15,2,0,0
1/15,3,0,0
1/15,4,0,0
1/15,5,0,0
1/15,6,0,0
1/15,7,0,0
1/15,8,0,0
1/15,9,0,0
1/15,10,0,0
1/15,11,0,0
1/15,12,0,0
1/15,13,0,0
1/15,14,0,0
1/15,15,5,4
1/15,16,140,125
1/15,17,317,294
1/15,18,463,384
1/15,19,560,515
1/15,20,595,583
1/15,21,565,493
1/15,22,475,420
1/15,23,332,188
1/16,0,158,36
1/16,1,11,4
1/16,2,0,0
1/16,3,0,0
1/16,4,0,0
1/16,5,0,0
1/16,6,0,0
1/16,7,0,0
1/16,8,0,0
1/16,9,0,0
1/16,10,0,0
1/16,11,0,0
1/16,12,0,0
1/16,13,0,0
1/16,14,0,0
1/16,15,5,3
