Date,Time,Usage
10/13,00:00:00,0.6
10/13,01:00:00,0.55
10/13,02:00:00,0.49
10/13,03:00:00,0.45
10/13,04:00:00,0.48
10/13,05:00:00,0.47
10/13,06:00:00,0.46
10/13,07:00:00,0.74
10/13,08:00:00,0.69
10/13,09:00:00,0.74
10/13,10:00:00,0.75
10/13,11:00:00,0.37
10/13,12:00:00,0.45
10/13,13:00:00,0.5
10/13,14:00:00,0.78
10/13,15:00:00,0.7
10/13,16:00:00,0.73
10/13,17:00:00,0.73
10/13,18:00:00,0.81
10/13,19:00:00,1.51
10/13,20:00:00,0.77
10/13,21:00:00,0.7
10/13,22:00:00,0.59
10/13,23:00:00,0.52
10/14,00:00:00,0.57
10/14,01:00:00,0.54
10/14,02:00:00,0.46
10/14,03:00:00,0.53
10/14,04:00:00,0.46
10/14,05:00:00,0.64
10/14,06:00:00,0.73
10/14,07:00:00,0.54
10/14,08:00:00,0.41
10/14,09:00:00,0.34
10/14,10:00:00,0.36
10/14,11:00:00,0.46
10/14,12:00:00,0.55
10/14,13:00:00,0.6
10/14,14:00:00,0.96
10/14,15:00:00,0.72
10/14,16:00:00,1.17
10/14,17:00:00,0.99
10/14,18:00:00,1.28
10/14,19:00:00,1.01
10/14,20:00:00,1.0
10/14,21:00:00,1.04
10/14,22:00:00,0.59
10/14,23:00:00,0.57
10/15,00:00:00,0.66
10/15,01:00:00,0.56
10/15,02:00:00,0.73
10/15,03:00:00,0.63
10/15,04:00:00,0.54
10/15,05:00:00,0.59
10/15,06:00:00,0.85
10/15,07:00:00,0.42
10/15,08:00:00,0.5
10/15,09:00:00,0.4
10/15,10:00:00,0.46
10/15,11:00:00,0.49
10/15,12:00:00,0.66
10/15,13:00:00,0.71
10/15,14:00:00,0.56
10/15,15:00:00,0.63
10/15,16:00:00,0.7
10/15,17:00:00,0.81
10/15,18:00:00,0.95
10/15,19:00:00,1.08
10/15,20:00:00,0.83
10/15,21:00:00,0.72
10/15,22:00:00,0.69
10/15,23:00:00,0.62
10/16,00:00:00,0.66
10/16,01:00:00,0.6
10/16,02:00:00,0.52
10/16,03:00:00,0.46
10/16,04:00:00,0.59
10/16,05:00:00,0.63
10/16,06:00:00,0.79
10/16,07:00:00,0.53
10/16,08:00:00,0.54
10/16,09:00:00,0.5
10/16,10:00:00,0.56
10/16,11:00:00,0.55
10/16,12:00:00,0.57
10/16,13:00:00,0.86
10/16,14:00:00,1.35
10/16,15:00:00,1.47
10/16,16:00:00,0.96
10/16,17:00:00,0.97
10/16,18:00:00,1.27
10/16,19:00:00,1.0
10/16,20:00:00,0.9
10/16,21:00:00,0.71
10/16,22:00:00,0.62
10/16,23:00:00,0.57
10/17,00:00:00,0.57
10/17,01:00:00,0.57
10/17,02:00:00,0.6
10/17,03:00:00,0.62
10/17,04:00:00,0.51
10/17,05:00:00,0.7
10/17,06:00:00,0.65
10/17,07:00:00,0.56
10/17,08:00:00,0.52
10/17,09:00:00,0.51
10/17,10:00:00,0.49
10/17,11:00:00,0.72
10/17,12:00:00,0.89
10/17,13:00:00,1.03
10/17,14:00:00,0.97
10/17,15:00:00,0.96
10/17,16:00:00,0.74
10/17,17:00:00,0.98
10/17,18:00:00,1.08
10/17,19:00:00,1.27
10/17,20:00:00,1.21
10/17,21:00:00,1.61
10/17,22:00:00,1.43
10/17,23:00:00,1.51
10/18,00:00:00,1.08
10/18,01:00:00,0.83
10/18,02:00:00,0.84
10/18,03:00:00,0.52
10/18,04:00:00,0.46
10/18,05:00:00,0.49
10/18,06:00:00,0.59
10/18,07:00:00,0.62
10/18,08:00:00,0.65
10/18,09:00:00,0.78
10/18,10:00:00,0.74
10/18,11:00:00,0.57
10/18,12:00:00,0.64
