Date,Time,Usage
10/08,00:00:00,0.57
10/08,01:00:00,0.64
10/08,02:00:00,0.43
10/08,03:00:00,0.45
10/08,04:00:00,0.39
10/08,05:00:00,0.42
10/08,06:00:00,0.41
10/08,07:00:00,0.87
10/08,08:00:00,0.52
10/08,09:00:00,0.54
10/08,10:00:00,0.52
10/08,11:00:00,0.6
10/08,12:00:00,0.47
10/08,13:00:00,1.83
10/08,14:00:00,2.09
10/08,15:00:00,2.15
10/08,16:00:00,2.18
10/08,17:00:00,2.48
10/08,18:00:00,2.32
10/08,19:00:00,1.09
10/08,20:00:00,1.3
10/08,21:00:00,1.44
10/08,22:00:00,0.84
10/08,23:00:00,0.64
10/09,00:00:00,0.57
10/09,01:00:00,0.45
10/09,02:00:00,0.48
10/09,03:00:00,0.45
10/09,04:00:00,0.47
10/09,05:00:00,0.46
10/09,06:00:00,0.56
10/09,07:00:00,0.57
10/09,08:00:00,0.69
10/09,09:00:00,0.71
10/09,10:00:00,0.9
10/09,11:00:00,1.25
10/09,12:00:00,1.08
10/09,13:00:00,1.98
10/09,14:00:00,2.31
10/09,15:00:00,2.4
10/09,16:00:00,2.65
10/09,17:00:00,2.76
10/09,18:00:00,2.46
10/09,19:00:00,1.26
10/09,20:00:00,1.11
10/09,21:00:00,1.07
10/09,22:00:00,0.93
10/09,23:00:00,0.59
10/10,00:00:00,0.5
10/10,01:00:00,0.47
10/10,02:00:00,0.55
10/10,03:00:00,0.46
10/10,04:00:00,0.45
10/10,05:00:00,0.42
10/10,06:00:00,0.5
10/10,07:00:00,0.5
10/10,08:00:00,0.42
10/10,09:00:00,0.46
10/10,10:00:00,0.46
10/10,11:00:00,0.47
10/10,12:00:00,0.45
10/10,13:00:00,1.9
10/10,14:00:00,2.44
10/10,15:00:00,3.42
10/10,16:00:00,3.23
10/10,17:00:00,2.38
10/10,18:00:00,2.12
10/10,19:00:00,1.13
10/10,20:00:00,1.41
10/10,21:00:00,1.22
10/10,22:00:00,0.85
10/10,23:00:00,0.57
10/11,00:00:00,0.49
10/11,01:00:00,0.42
10/11,02:00:00,0.42
10/11,03:00:00,0.41
10/11,04:00:00,0.36
10/11,05:00:00,0.41
10/11,06:00:00,0.39
10/11,07:00:00,0.49
10/11,08:00:00,0.36
10/11,09:00:00,0.54
10/11,10:00:00,0.63
10/11,11:00:00,0.51
10/11,12:00:00,0.55
10/11,13:00:00,2.03
10/11,14:00:00,2.19
10/11,15:00:00,2.47
10/11,16:00:00,2.7
10/11,17:00:00,2.54
10/11,18:00:00,2.34
10/11,19:00:00,1.15
10/11,20:00:00,1.26
10/11,21:00:00,1.34
10/11,22:00:00,1.08
10/11,23:00:00,0.65
10/12,00:00:00,0.85
10/12,01:00:00,0.52
10/12,02:00:00,0.46
10/12,03:00:00,0.43
10/12,04:00:00,0.43
10/12,05:00:00,0.43
10/12,06:00:00,0.42
10/12,07:00:00,0.51
10/12,08:00:00,0.36
10/12,09:00:00,0.46
10/12,10:00:00,0.78
10/12,11:00:00,0.63
10/12,12:00:00,0.9
10/12,13:00:00,2.46
10/12,14:00:00,2.72
10/12,15:00:00,2.7
10/12,16:00:00,2.52
10/12,17:00:00,2.4
10/12,18:00:00,2.06
10/12,19:00:00,0.9
10/12,20:00:00,0.87
10/12,21:00:00,1.24
10/12,22:00:00,1.17
10/12,23:00:00,0.66
10/13,00:00:00,0.52
10/13,01:00:00,0.45
10/13,02:00:00,0.43
10/13,03:00:00,0.38
10/13,04:00:00,0.41
10/13,05:00:00,0.41
10/13,06:00:00,0.38
10/13,07:00:00,0.43
10/13,08:00:00,0.45
10/13,09:00:00,0.69
10/13,10:00:00,0.81
10/13,11:00:00,0.91
10/13,12:00:00,0.6
10/13,13:00:00,1.79
10/13,14:00:00,2.08
10/13,15:00:00,2.29
10/13,16:00:00,2.37
10/13,17:00:00,2.59
10/13,18:00:00,2.11
10/13,19:00:00,1.3
10/13,20:00:00,1.31
10/13,21:00:00,1.37
10/13,22:00:00,0.87
10/13,23:00:00,0.58
10/14,00:00:00,0.47
10/14,01:00:00,0.42
10/14,02:00:00,0.45
10/14,03:00:00,0.41
10/14,04:00:00,0.44
10/14,05:00:00,0.41
10/14,06:00:00,0.52
10/14,07:00:00,0.57
10/14,08:00:00,0.42
10/14,09:00:00,0.52
10/14,10:00:00,0.41
10/14,11:00:00,0.43
10/14,12:00:00,0.41
10/14,13:00:00,1.98
10/14,14:00:00,2.32
10/14,15:00:00,2.25
10/14,16:00:00,2.77
10/14,17:00:00,2.68
10/14,18:00:00,2.14
10/14,19:00:00,0.86
10/14,20:00:00,1.05
10/14,21:00:00,1.39
10/14,22:00:00,0.99
10/14,23:00:00,0.93
10/15,00:00:00,0.6
10/15,01:00:00,0.46
10/15,02:00:00,0.43
10/15,03:00:00,0.42
10/15,04:00:00,0.43
10/15,05:00:00,0.41
10/15,06:00:00,0.49
10/15,07:00:00,0.77
10/15,08:00:00,0.46
10/15,09:00:00,0.55
10/15,10:00:00,0.42
10/15,11:00:00,0.44
10/15,12:00:00,0.41
10/15,13:00:00,1.89
10/15,14:00:00,2.57
10/15,15:00:00,2.61
10/15,16:00:00,2.72
10/15,17:00:00,2.48
10/15,18:00:00,2.47
10/15,19:00:00,1.19
10/15,20:00:00,1.41
10/15,21:00:00,1.34
10/15,22:00:00,0.79
10/15,23:00:00,0.63
10/16,00:00:00,0.48
10/16,01:00:00,0.52
10/16,02:00:00,0.44
10/16,03:00:00,0.45
10/16,04:00:00,0.45
10/16,05:00:00,0.42
10/16,06:00:00,0.52
10/16,07:00:00,0.53
10/16,08:00:00,0.47
10/16,09:00:00,0.57
10/16,10:00:00,0.46
10/16,11:00:00,0.45
10/16,12:00:00,0.43
10/16,13:00:00,1.84
10/16,14:00:00,2.09
10/16,15:00:00,2.2
10/16,16:00:00,3.08
10/16,17:00:00,2.88
10/16,18:00:00,2.47
10/16,19:00:00,1.26
10/16,20:00:00,1.49
10/16,21:00:00,1.29
10/16,22:00:00,0.83
10/16,23:00:00,0.65
10/17,00:00:00,0.53
10/17,01:00:00,0.58
10/17,02:00:00,0.49
10/17,03:00:00,0.48
10/17,04:00:00,0.46
10/17,05:00:00,0.47
10/17,06:00:00,0.49
10/17,07:00:00,0.53
10/17,08:00:00,0.53
10/17,09:00:00,0.58
10/17,10:00:00,0.48
10/17,11:00:00,0.59
10/17,12:00:00,0.48
10/17,13:00:00,1.81
10/17,14:00:00,2.23
10/17,15:00:00,2.48
10/17,16:00:00,2.88
10/17,17:00:00,2.68
10/17,18:00:00,2.41
10/17,19:00:00,1.25
10/17,20:00:00,1.17
10/17,21:00:00,1.17
10/17,22:00:00,0.79
10/17,23:00:00,0.55
10/18,00:00:00,0.46
10/18,01:00:00,0.45
10/18,02:00:00,0.42
10/18,03:00:00,0.41
10/18,04:00:00,0.38
10/18,05:00:00,0.41
10/18,06:00:00,0.42
10/18,07:00:00,0.51
10/18,08:00:00,0.42
10/18,09:00:00,0.53
10/18,10:00:00,0.52
10/18,11:00:00,0.55
10/18,12:00:00,0.63
10/18,13:00:00,1.94
10/18,14:00:00,2.11
10/18,15:00:00,2.68
10/18,16:00:00,2.71
10/18,17:00:00,2.62
10/18,18:00:00,2.62
10/18,19:00:00,1.2
10/18,20:00:00,1.12
10/18,21:00:00,1.27
10/18,22:00:00,1.03
10/18,23:00:00,0.61
10/19,00:00:00,0.5
10/19,01:00:00,0.47
10/19,02:00:00,0.46
10/19,03:00:00,0.42
10/19,04:00:00,0.43
10/19,05:00:00,0.42
10/19,06:00:00,0.43
10/19,07:00:00,0.46
10/19,08:00:00,0.51
10/19,09:00:00,0.42
10/19,10:00:00,0.38
10/19,11:00:00,0.72
10/19,12:00:00,1.04
10/19,13:00:00,2.34
10/19,14:00:00,2.71
10/19,15:00:00,2.77
10/19,16:00:00,2.64
10/19,17:00:00,2.35
10/19,18:00:00,2.18
10/19,19:00:00,1.37
10/19,20:00:00,1.28
10/19,21:00:00,1.66
10/19,22:00:00,1.36
10/19,23:00:00,0.92
10/20,00:00:00,0.53
10/20,01:00:00,0.63
10/20,02:00:00,0.55
10/20,03:00:00,0.4
10/20,04:00:00,0.41
10/20,05:00:00,0.38
10/20,06:00:00,0.37
10/20,07:00:00,0.4
10/20,08:00:00,0.54
10/20,09:00:00,0.5
10/20,10:00:00,0.41
10/20,11:00:00,0.46
10/20,12:00:00,0.46
10/20,13:00:00,1.85
10/20,14:00:00,2.11
10/20,15:00:00,2.06
10/20,16:00:00,2.21
10/20,17:00:00,2.4
10/20,18:00:00,2.31
10/20,19:00:00,1.11
10/20,20:00:00,1.12
10/20,21:00:00,0.94
10/20,22:00:00,0.83
